artist,track,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,rating
M.I.A.,Sunshowers,0.201,0.943,194067,0.6920000000000001,0.0002220000000000001,1,0.0442,-8.256,1,0.159,117.98899999999999,0.912,3.64
Angelo Badalamenti,The Chair,0.905,0.172,271120,0.298,0.88,7,0.0933,-13.144,0,0.04,119.08,0.0386,3.67
James Brown,Try Me,0.9329999999999999,0.6829999999999999,149560,0.265,0.0,0,0.71,-12.735,1,0.0293,102.08,0.647,3.66
Julia Jacklin,Pressure to Party,0.000124,0.483,182307,0.81,4.79e-05,4,0.11800000000000001,-3.949,1,0.0366,141.906,0.382,3.71
Siouxsie and The Banshees,Face to Face,0.0942,0.5479999999999999,265560,0.72,2.24e-05,7,0.139,-6.6,1,0.026000000000000002,92.08200000000001,0.534,3.62
Joey Bada$$,Survival Tactics,0.428,0.53,202785,0.843,0.0,1,0.16399999999999998,-2.271,1,0.39,199.946,0.919,3.63
Rick James,Mary Jane,0.256,0.537,297347,0.82,1.93e-06,11,0.4320000000000001,-7.011,0,0.127,94.434,0.8809999999999999,3.65
Calexico,Ballad of Cable Hogue,0.00873,0.524,208947,0.716,0.0047,9,0.19699999999999998,-9.737,0,0.0327,136.165,0.8340000000000001,3.75
Nujabes,Reflection Eternal,0.429,0.8420000000000001,257893,0.46399999999999997,0.789,2,0.0978,-12.628,1,0.0418,93.96600000000001,0.7709999999999999,3.83
Deftones,Around the Fur,1.9399999999999997e-05,0.449,211733,0.87,0.0411,5,0.0797,-4.2410000000000005,0,0.11199999999999999,79.952,0.22899999999999998,3.75
Model 500,Starlight,0.00025,0.703,429943,0.5760000000000001,0.8290000000000001,10,0.11,-14.954,0,0.0428,125.01899999999999,0.617,3.59
Mutantes,2001,0.5429999999999999,0.28600000000000003,237280,0.897,0.0,9,0.157,-4.0280000000000005,1,0.174,189.38400000000001,0.598,3.97
