,artist,track,date,rating,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
226,The Struts,Could Have Been Me,2013,3.22,0.541,0.907,4,-4.512,1,0.0642,0.0158,0.000185,0.34,0.434,80.029,187653
227,Florrie,Live a Little,11 April ,3.38,0.654,0.92,8,-3.883,0,0.0406,0.0333,0.0199,0.052,0.922,101.984,180500
228,Grouplove,Ways to Go,2013,3.15,0.577,0.827,7,-7.54,1,0.0365,0.00338,0.000647,0.26,0.179,101.031,215520
229,Pusha T,Sweet Serenade,4 September ,3.01,0.722,0.702,7,-6.688,1,0.347,0.0127,0.0051,0.384,0.424,150.056,219293
230,The Postal Service,A Tattered Line of String,12 February ,2.99,0.626,0.913,7,-6.391,1,0.0462,0.00493,0.392,0.336,0.961,139.985,176933
231,Autre Ne Veut,On & On,15 July ,3.28,0.324,0.372,11,-8.328,0,0.0587,0.636,0.0,0.104,0.216,74.667,349908
232,Robert Pollard,Tonight's the Rodeo,15 October ,3.73,0.327,0.631,7,-6.456,1,0.0326,0.287,1.74e-05,0.0742,0.864,125.572,110853
233,Movement,Us,20 September ,3.62,0.676,0.507,11,-12.864,0,0.134,0.209,0.508,0.0748,0.314,179.959,182978
234,Flyying Colours,Wavygravy,12 April ,3.62,0.357,0.85,2,-5.365,1,0.0487,2.2e-05,0.738,0.301,0.171,116.945,204227
235,Fink,Warm Shadow,10 March ,3.41,0.739,0.555,4,-11.499,0,0.0398,0.636,0.247,0.112,0.279,100.516,346760
236,Nadine Shah,To Be a Young Man,7 July ,3.44,0.427,0.763,0,-6.56,1,0.0347,0.0337,0.468,0.0956,0.436,144.911,300987
237,Pegboard Nerds,Razor Sharp,1 May ,3.15,0.681,0.909,9,-4.847,1,0.353,0.00135,2.33e-05,0.0754,0.378,110.007,281455
238,Gregory Alan Isakov,Second Chances,14 July ,3.97,0.376,0.325,4,-9.972,1,0.0304,0.946,0.0937,0.113,0.211,154.563,229227
239,Enshine,Brighter,13 May ,3.56,0.389,0.893,10,-4.807,0,0.0381,0.0197,0.887,0.151,0.323,104.966,267454
240,Classixx,Holding On,17 February ,3.23,0.716,0.871,10,-6.168,1,0.0729,0.00535,0.289,0.0464,0.894,123.003,380240
241,A Day to Remember,Right Back at It Again,11 November ,3.68,0.296,0.993,3,-3.814,1,0.333,0.000115,2.42e-06,0.0975,0.306,169.813,200031
242,Desaparecidos,Te Amo Camila Vallejo,2 August ,3.45,0.147,0.939,2,-3.139,1,0.0607,1.22e-05,0.0,0.118,0.371,162.812,218944
243,Tarja,Victim of Ritual,12 July ,3.17,0.333,0.666,5,-5.295,0,0.0519,0.0245,0.00415,0.0572,0.325,119.961,354372
244,Tricky,Valentine,16 September ,3.43,0.779,0.319,10,-13.303,0,0.0406,0.577,0.58,0.11,0.171,151.42,196160
245,HTRK,Poison,4 November ,3.26,0.427,0.707,7,-8.739,0,0.0297,2.94e-05,0.782,0.216,0.454,133.281,221613
246,Trivium,Strife,19 August ,3.47,0.461,0.987,1,-1.711,0,0.108,3.58e-05,8.48e-05,0.359,0.309,142.031,269266
247,Falling in Reverse,Alone,7 May ,0.95,0.527,0.95,2,-4.023,0,0.0864,0.0226,0.0,0.0633,0.632,150.078,279077
248,American Authors,Best Day of My Life,19 March ,1.32,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012,194240
249,Bart Baker,Wrecking Ball Parody,5 October ,0.54,0.497,0.443,0,-3.431,0,0.119,0.604,0.0,0.0786,0.27,84.396,205250
250,Pitbull,Feel This Moment,4 February ,1.39,0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956,229507
251,Unkle Adams,I Am Stronger,14 September ,0.97,0.604,0.79,9,-7.867,0,0.498,0.131,0.0,0.0795,0.253,130.766,221394
252,Pitbull,Timber,7 October ,1.95,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,204160
253,Demi Lovato,Let It Go,21 October ,1.8,0.505,0.624,7,-6.513,1,0.0371,0.0235,0.0,0.5,0.215,139.849,224387
254,Katy Perry,Roar,12 August ,1.99,0.554,0.772,7,-4.821,0,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,223546
