track,artist,date,rating
"b'Rudy, a Message to You / Till Death Us Do Part'",b'Dandy and His Group',March 1967 ,3.88
,,,
b'Green Machine',b'Kyuss',1993,3.89
"b'Mas, que nada! / Por causa de voc\xc3\xaa, menina'",b'Jorge Ben',1963,4.00
b'Ghost of Perdition',b'Opeth',2006,3.90
b'I Want to Take You Higher / You Can Make It If You Try',b'Sly & The Family Stone',19 June 1970 ,3.88
b'East St. Louis Toodle-O / Birmingham Breakdown',b'Duke Ellington and His Kentucky Club Orchestra',March 1927 ,3.86
b'Disposable Heroes',b'Metallica',29 August 2017 ,3.90
b'La nuit je mens',b'Bashung',February 1998 ,3.90
,,,
b'Psycho / Maintaining My Cool',b'The Sonics',February 1967 ,3.92
b'Sebastian / Rock and Roll Parade',b'Cockney Rebel',31 August 1973 ,3.85
b'Can the Circle Be Unbroken (By and By) / Glory to the Lamb',b'The Carter Family',July 1935 ,3.87
"b'""5446"" Was My Number / Version'",b'Toots & The Maytals',1970,3.92
"b""Come On in My Kitchen / They're Red Hot""",b'Robert Johnson',1 June 1937 ,3.87
,,,
,,,
b'Know Your Product / Rundown',b'The Saints',3 April 1978 ,3.89
b'Winter Lady / Sisters of Mercy / The Stranger Song',b'Leonard Cohen',1971,3.87
b'Rings of Saturn',b'Nick Cave & The Bad Seeds',31 March 2017 ,3.92
"b""Open My Eyes / Hello It's Me""",b'Nazz',September 1968 ,3.84
"b""Harlem Shuffle / I'll Keep Running Back""",b'Bob & Earl',1963,3.87
b'When You Were Mine / Gotta Broken Heart Again / Uptown',b'Prince',1980,3.97
"b""She's Got You / Strange""",b'Patsy Cline',10 January 1962 ,3.88
,,,
b'I Walk on Guilded Splinters',"b'Dr. John, The Night Tripper'",August 1968 ,3.93
b'Samba pa ti / Se a cabo',b'Santana',February 1974 ,3.89
b'Aurora',b'Bj\xc3\xb6rk',2001,3.89
"b""I'd Love to Change the World / Let the Sky Fall""",b'Ten Years After',September 1971 ,3.87
b'Baby Blue',b'Fishmans',27 March 1996 ,3.87
b'Hell Hound on My Trail / From Four Until Late',b'Robert Johnson',1 August 1937 ,3.81
b'Domino / Into the Mystic',b'Van Morrison',February 1971 ,3.99
,,,
b'Dream a Little Dream of Me / Midnight Voyage',b'Mama Cass',June 1968 ,3.86
b'Undecided / Wars or Hands of Time',b'The Masters Apprentices',November 1966 ,3.91
b'Kid Charlemagne / Green Earrings',b'Steely Dan',May 1976 ,3.90
b'Black Soul Choir',b'16 Horsepower',1996,3.90
"b""Trouble Comin' Every Day / Who Are the Brain Police?""",b'The Mothers of Invention',October 1966 ,3.86
b'Some Weird Sin / Tonight',b'Iggy Pop',1977,3.92
b'Ces gens l\xc3\xa0 / Jacky',b'Jacques Brel',10 November 1965 ,3.85
,,,
b'River of Jordan / Keep on the Sunny Side',b'Carter Family',3 August 1928 ,3.80
b'The Lamb Lies Down on Broadway',b'Genesis',1974,3.86
b'Swallow My Pride / Pinhead',b'Ramones',18 July 1977 ,3.86
b'Smash It Up / Burglar',b'The Damned',11 October 1979 ,3.83
b'Wind in My Sails',b'Earl Sweatshirt',26 January 2016 ,3.93
b'Getting Away With It (All Messed Up) ',b'James',June 2001 ,3.91
b'Time Is on My Side / Anyone Who Knows What Love Is (Will Understand)',b'Irma Thomas',June 1964 ,3.89
,,,
b'Not My Baby',b'Alvvays',2017,3.94
b'Bull Doze Blues / Old Country Stomp',b'Henry Thomas (Ragtime Texas)',January 1929 ,3.90
b'Beautiful Blue Sky',b'Ought',7 July 2015 ,3.92
"b""Potato Head Blues / Put 'Em Down Blues""",b'Louis Armstrong and His Hot Seven / Louis Armstrong and His Hot Five',October 1927 ,3.82
"b'Dizzy, Miss Lizzy / Slow Down'",b'Larry Williams',24 February 1958 ,3.89
b'Counting the Days / Dreams Then Plans',b'The Sound',April 1984 ,3.87
b'Quicksand',b'David Bowie',1971,3.91
,,,
b'Chinese Rocks / Born to Lose',b'Heartbreakers',21 May 1977 ,3.86
"b""Here I Am (Come and Take Me) / I'm Glad You're Mine""",b'Al Green',1973,3.91
b'Crank',b'Catherine Wheel',June 1993 ,3.92
b'747',b'Kent',13 July 1998 ,3.90
b'I Keep a Close Watch',b'John Cale',April 1983 ,3.90
,,,
,,,
b'Question / Candle of Life',b'The Moody Blues',April 1970 ,3.79
b'Temple of Love (1992) / Vision Thing',b'The Sisters of Mercy',April 1992 ,3.87
b'One / Sister Marie',b'Harry Nilsson',2 March 1968 ,3.88
b'The Trapeze Swinger',b'Iron and Wine',2005,3.93
b'Drive Home',b'Steven Wilson',21 October 2013 ,4.00
b'Alice',b'Tom Waits',2002,3.96
"b""I Can't Be Satisfied / Feel Like Going Home""",b'Muddy Waters',June 1948 ,3.85
,,,
b'Midnight Cowboy / Fun City',b'John Barry',1981,3.95
b'Square Hammer / He Is',b'Ghost',16 September 2016 ,3.86
"b""Disney Girls (1957) / Surf's Up""",b'The Beach Boys',1973,3.96
"b""Fisherman / Can't Come In""",b'The Congos',1981,3.85
